name,enname,youtubeId,twitterId,biliId,tags,thumbnailSource,cnname,
ホロライブ,HoloLive,UCJFZiqLMntJufDCHc6bQixg,hololivetv,286700005,homolive,twitter,HoloLive
花咲 みやび,Miyabi Hanasaki,UC6t3-_N8A6ME1JShZHHqOMw,miyabihanasaki,0,holostars,twitter,
鏡見 キラ,Kagami Kira,UCEzsociuFqVwgZuMaZqaCsg,kagamikirach,0,holostars,twitter,
奏手 イヅル,Kanade Izuru,UCZgOv3YDEs-ZnZWDYVwJdmA,kanadeizuru,0,holostars,twitter,
潤羽 るしあ,Uruha Rushia,UCl_gCybOJRIgOXw6Qb4qJzQ,uruharushia,443300418,hololive,twitter,润羽露西娅
兎田 ぺこら,Usada Pekora,UC1DCedRgGHBdm81E1llLhOQ,usadapekora,443305053,hololive,twitter,兔田佩克拉
白上 フブキ,Shirakami Fubuki,UCdn5BQ06XqgXoAxIhbqw5Rg,shirakamifubuki,332704117,hololive,twitter,白上吹雪
湊 あくあ,Minato Aqua,UC1opHUrw8rvnsadT-iGp7Cg,minatoaqua,375504219,hololive,twitter,凑阿库娅
夏色 まつり,Natsuiro Matsuri,UCQ0UDLQCjY0rmuxCDE38FGg,natsuiromatsuri,336731767,hololive,twitter,夏色祭
大神 ミオ,Okami Mio,UCp-5t9SrOQwXMU7iIjQfARg,ookamimio,389862071,hololive,twitter,大神澪
神楽 めあ,Kagura Mea,UCWCc8tO-uUl_7SJXIKJACMw,KaguraMea_VoV,349991143,Meaqua,twitter,神乐魅娅
ときの  そら,Tokino Sora,UCp6993wxpyDPHUpavwDFqgg,tokino_sora,286179206,hololive,twitter,时乃空
ロボ子さん,Robocosan,UCDqI2jOz0weumE8s7paEk6g,robocosan,20813493,hololive,twitter,萝卜子
さくら みこ,Sakura Miko,UC-hM6YJuNYVAmUWxeIr9FeA,sakuramiko35,366690056,hololive,twitter,樱巫女
夜空 メル,Yozora Mel,UCD8HOxPs4Xvsm8H0ZxXGiBw,yozoramel,389856447,hololive,twitter,夜空梅露
アキ ローゼンタール,Aki Rosenthal,UCFTLzh12_nrtzqBPsTCqenA,akirosenthal,389857131,hololive,twitter,亚绮·罗森塔尔
赤井 はあと,Akai Haato,UC1CfXB_kRs3C-zaeTG3oGyg,akaihaato,339567211,hololive,twitter,赤井心
紫咲 シオン,Murasaki Shion,UCXTpFs_3PqI41qX2d9tL2Rw,murasakishionch,389857640,hololive,twitter,紫咲诗音
百鬼 あやめ,Nakiri Ayame,UC7fk0CB07ly8oSl0aqKkqFg,nakiriayame,389858027,hololive,twitter,百鬼绫目
癒月 ちょこ,Yuzuki Choco,UC1suqwovbL1kzsoaZgFZLKg,yuzukichococh,389858754,hololive,twitter,愈月巧可
大空 スバル,Oozora Subaru,UCvzGlP9oQwU--Y0r9id_jnA,oozorasubaru,389859190,hololive,twitter,大空昴
猫又 おかゆ,Nekomata Okayu,UCvaTdHTWBGv3MKj3KVqJVCw,nekomataokayu,412135222,hololive,twitter,猫又小粥
戌神 ころね,Inugami Korone,UChAnqc_AY5_I3Px5dig3X1Q,inugamikorone,412135619,hololive,twitter,戌神沁音
AZKi,AZKi,UC0TXe_LYZ4scaW2XMyi5_kw,AZKi_VDiVA,389056211,hololive,twitter,AZKi
星街 すいせい,Suisei Hosimati,UC5CwaMl1eIgY8h02uZw7u8A,suisei_hosimati,0,hololive,twitter,星街彗星
犬山 たまき,Inuyama Tamaki,UC8NZiqKx6fsDT3AVcMiVFyA,norioo_,12362451,,twitter,犬山玉姬
キズナアイ,Kizuna AI,UC4YaOt1yT-ZeyB0OmxHgolA,aichan_nel,1473830,upd8,twitter,绊爱
輝夜 月,Kaguya Luna,UCQYADFw7xEJ9oZSM5ZbqyBw,_KaguyaLuna,265224956,MOON,twitter,辉夜月
ミライ アカリ,Mirai Akari,UCMYtONm441rBogWK_xPH9HA,MiraiAkari_prj,238537745,ENTUM,twitter,未来明
電脳少女シロ,Siro,UCLhUvJ_wO9hOvv_yYENu4fQ,SIROyoutuber,391876799,.LIVE,twitter,电脑少女Siro
ねこます,Nekomasu,UCt8tmsv8kL9Nc1sxvCo9j4Q,kemomimi_oukoku,0,,twitter,Nekomasu
シエラ ルーニス,Cierra Runis,UCupCAZz1l52vV8m-dvaoBVQ,CierraRunis,18149131,Overidea,twitter,谢拉·露妮丝
ミア ルーニス,Mia Runis,UCupCAZz1l52vV8m-dvaoBVQ,MiaRunis,18149131,Overidea,twitter,米娅·露妮丝
京华,Kyouka,UCupCAZz1l52vV8m-dvaoBVQ,OverideaHQ,18149131,Overidea,twitter,京华
田中 ヒメ,Tanaka Hime,UCFv2z4iM5vHrS8bZPq4fHQQ,HimeTanaka_HH,296909317,,twitter,田中姬
鈴木 ヒナ,Suzuki Hina,UCFv2z4iM5vHrS8bZPq4fHQQ,HinaSuzuki_HH,296909317,,twitter,铃木雏
リタ,Lita,UCwuS0uY-Z2Gr_5OV2oFybFA,kmnzlita,397520048,KMNZ,twitter,LITA
リズ,Liz,UCRMpIxnySp7Fy5SbZ8dBv2w,kmnzliz,397520517,KMNZ,twitter,LIZ
織田 信姫,Oda Nobuhime,UCGcD5iUDG8xiywZeeDxye-A,oda_nobuhime,80387576,upd8,twitter,织田信姬
Kerin,Kerin,UCeAfiVvEuyICYJW-f3GnQjQ,Kerin_Vtuber,15095071,upd8,twitter,Kerin
周防 パトラ,Suou Patra,UCeLzT-7b2PBcunJplmWtoDg,Patra_HNST,0,upd8,twitter,周防帕托拉
